complaint_id,description,category,priority,assigned_department
641,construction waste has been noticed near the school and may become worse if ignored.,Waste,High,Waste Management
642,"The the railway crossing has broken streetlight, and people are having difficulty using the area.",Electricity,Medium,Electricity
643,"The the market has low water pressure, and people are having difficulty using the area.",Water,Medium,Water Supply
644,Urgent attention is needed at the community center because of water supply interruption.,Water,Medium,Water Supply
645,"The the community center has damaged electric pole, and people are having difficulty using the area.",Electricity,Medium,Electricity
646,"The the drainage lane has loose cable, and people are having difficulty using the area.",Electricity,Medium,Electricity
647,"The the school has uncollected garbage, and people are having difficulty using the area.",Waste,Medium,Waste Management
648,Citizens are concerned about construction waste at the main road. Kindly investigate.,Waste,High,Waste Management
649,Urgent attention is needed at the bus stop because of illegal dumping.,Waste,High,Waste Management
650,Urgent attention is needed at the hospital road because of loose cable.,Electricity,Medium,Electricity
651,The area around the street corner is affected by plastic waste. Please arrange maintenance.,Waste,Medium,Waste Management
652,Please send a team to the main road; there is road excavation that needs attention.,Roads,Medium,Roads & Works
653,overflowing drain has been noticed near the neighborhood entrance and may become worse if ignored.,Drainage,Low,Drainage & Sewerage
654,The area around the shopping area is affected by construction waste. Please arrange maintenance.,Waste,Medium,Waste Management
655,road excavation has been noticed near the market and may become worse if ignored.,Roads,High,Roads & Works
656,There is a sewage overflow near the street corner. It is causing problems for residents.,Drainage,Critical,Drainage & Sewerage
657,Please send a team to the neighborhood entrance; there is abandoned structure that needs attention.,Safety,High,Public Safety
658,Please send a team to the street corner; there is uneven road that needs attention.,Roads,Medium,Roads & Works
659,Citizens are concerned about cracked road at the residential street. Kindly investigate.,Roads,High,Roads & Works
660,Residents are reporting cracked road around the street corner. Please inspect and resolve it.,Roads,High,Roads & Works
661,Citizens are concerned about broken water pipe at the apartment block. Kindly investigate.,Water,High,Water Supply
662,"The the community center has loose cable, and people are having difficulty using the area.",Electricity,Medium,Electricity
663,There is a broken water pipe near the apartment block. It is causing problems for residents.,Water,Medium,Water Supply
664,"The the local mosque has exposed electrical wire, and people are having difficulty using the area.",Electricity,Critical,Electricity
665,flooded drain has been noticed near the residential street and may become worse if ignored.,Drainage,Critical,Drainage & Sewerage
666,Residents are reporting exposed electrical wire around the street corner. Please inspect and resolve it.,Electricity,Critical,Electricity
667,There is a contaminated water near the drainage lane. It is causing problems for residents.,Water,High,Water Supply
668,"The the shopping area has damaged railing, and people are having difficulty using the area.",Safety,Medium,Public Safety
669,Please send a team to the street corner; there is missing safety barrier that needs attention.,Safety,High,Public Safety
670,"The the hospital road has abandoned structure, and people are having difficulty using the area.",Safety,Medium,Public Safety
671,Urgent attention is needed at the community center because of flooded drain.,Drainage,Critical,Drainage & Sewerage
672,Residents are reporting overflowing garbage bin around the railway crossing. Please inspect and resolve it.,Waste,Medium,Waste Management
673,Citizens are concerned about missing safety barrier at the shopping area. Kindly investigate.,Safety,Medium,Public Safety
674,There is a uncollected garbage near the local mosque. It is causing problems for residents.,Waste,High,Waste Management
675,The area around the shopping area is affected by unsafe public area. Please arrange maintenance.,Safety,Medium,Public Safety
676,Residents are reporting missing safety barrier around the street corner. Please inspect and resolve it.,Safety,High,Public Safety
677,Please send a team to the community center; there is illegal dumping that needs attention.,Waste,Medium,Waste Management
678,"The the public park has sewer blockage, and people are having difficulty using the area.",Drainage,Medium,Drainage & Sewerage
679,There is a uncollected garbage near the drainage lane. It is causing problems for residents.,Waste,Low,Waste Management
680,Residents are reporting abandoned structure around the main road. Please inspect and resolve it.,Safety,High,Public Safety
681,There is a contaminated water near the hospital road. It is causing problems for residents.,Water,High,Water Supply
682,"The the shopping area has illegal dumping, and people are having difficulty using the area.",Waste,High,Waste Management
683,overflowing drain has been noticed near the street corner and may become worse if ignored.,Drainage,Low,Drainage & Sewerage
684,Citizens are concerned about sewer blockage at the market. Kindly investigate.,Drainage,Medium,Drainage & Sewerage
685,Urgent attention is needed at the main road because of damaged railing.,Safety,Medium,Public Safety
686,Please send a team to the apartment block; there is broken sidewalk that needs attention.,Safety,Medium,Public Safety
687,There is a uneven road near the market. It is causing problems for residents.,Roads,Medium,Roads & Works
688,Please send a team to the local mosque; there is damaged road that needs attention.,Roads,Medium,Roads & Works
689,Citizens are concerned about overflowing garbage bin at the main road. Kindly investigate.,Waste,High,Waste Management
690,The area around the school is affected by plastic waste. Please arrange maintenance.,Waste,Low,Waste Management
691,Residents are reporting overflowing garbage bin around the shopping area. Please inspect and resolve it.,Waste,Low,Waste Management
692,Urgent attention is needed at the school because of sewer blockage.,Drainage,High,Drainage & Sewerage
693,"The the railway crossing has overflowing water tank, and people are having difficulty using the area.",Water,Low,Water Supply
694,"The the local mosque has broken streetlight, and people are having difficulty using the area.",Electricity,Medium,Electricity
695,"The the railway crossing has damaged railing, and people are having difficulty using the area.",Safety,High,Public Safety
696,Please send a team to the hospital road; there is loose cable that needs attention.,Electricity,Low,Electricity
697,Residents are reporting damaged road around the apartment block. Please inspect and resolve it.,Roads,Medium,Roads & Works
698,Citizens are concerned about uncollected garbage at the community center. Kindly investigate.,Waste,High,Waste Management
699,Residents are reporting low water pressure around the railway crossing. Please inspect and resolve it.,Water,Medium,Water Supply
700,sparking transformer has been noticed near the shopping area and may become worse if ignored.,Electricity,Critical,Electricity
